MANUFACTURER_ID,MAKER_NAME
76614ba3a702c55ae372f52824fcb4cdce214381ef006ef6c48648eb0c8ce47c,SRI KARTHEEK AGRO INDUSTRIES
76992585557f8f11cd66e4d6e20e950340b841ee848e5334969866c05ba27852,"M/S SREE  RAMA ENGINEERING WORKS,MOTHUKUR"
77f0b245cabc9f3f4eb7d280dc1cf51d744aa8609a19754daf1fdef4d7a6a447,M/S MAHINDRA &MAHINDRA LTD
7841298c40c8bbe81c485e00e5273e5f316b646bba877a4c0062df24b11b3cd9,M/S RAJA AGRO INDUSTRIES MBNR
7856d5a71a8ff73fe51fd5c0e20e5b9b29ae3dd3aae86eedff4f65db38411aa3,M/S SRI LAXMINARASHIMHA ENGINEERING WORKS NLG
78ad31f3f7c1483c8b9ba057fce12768383d3709ff891bd488e3517629b84490,"JCB INDIA LTD.,"
7b34536a012edf4bb2284e847109d19d4abfaa1219915ec27ea1b0ff0f901de8,M/S LAXMI SAI ENGINEERING WORKS
7c353393880844846f642dd71124c1f70c282318ce8d619521e1d3b38e814101,"M/S TIRUMALA ENGINEERING WORKS,KHAMMAM"
7d37e574b334c77375106428631634d28bb72203b702b114c57c281d244c53eb,M/S SRI JAI GURU SAI ENGINEERING WORKS SANGAREDDY
7f0f321ef1f47b9e0202383221d612622bbf3bb7183f2b49c2f42a8aa32f45ec,M/S NVR ENGINEERING WORKS
7f6c69dc64a4b0b0667ca9ea9bfce55cffadc63633dbf9419e9733fe96d457dd,TIRTH AGRO TECHNOLOGY PVT LTD
802f9006f99350f3bd10eb37fd92c3793a7e4baefbcf12d00bd66b88ac2320bd,M/S PARAMESWARA MECHANICAL WORKS
80e77f2a9e76535a857e3fc98098b9dc69ee2f410b6f63c2e59a54445b8f0a26,FRIENDS ENGG WORKS  PEDDAPALLI
81beecb17c7a1be6b532fa675fa4d462f038f04cba9c082d057c1cf11c8130ae,M/S. BEULAH ENGINEERING WORKS
8489dcdb3181644b653420999297aea003346a5fd276cee953beac8da4b4e85f,SRI RAGHAVA ENGG WORKS ASIFABA
852e4b83fe1a74f09415f57d4c4756a372dfc1764233e0a6a8711828b58aa977,RAVICHANDRA WELDING WORKS JAGT
86aa6d87ae16fd390003404850f7a1c50b22f6e33ea2db14c24984b025b9eec4,M/S NEW TECH ENGINEERING WORKS ADILABAD
89ff3131ddbd9c25362d74c8386d8684441269baf56ff99270b07201bc403c19,M/S.MOTOROYALE KINETIC PRIVATE LIMITED
8a4d1a8ccd7882403d3b6577b7d899dac951b3071ccd878d5b88e2c00cb451e7,"M/S SRI VENKATESHWARA ENGINEERING WORKSHOP,SIRPUR"
8a4f2e727b4912c22c6b90c15f94d01c7db02ccbc5d11c4473e95049d849058d,SAI RAM ENGINEERING WORKS NALG
8b2b61edcc08bf7025cc09d3913903b15d581ae35fb7636a99bdd2855c2141c3,M/S SUN ENGINEERING AGRO
8b78c8307212f287ba8b84de09fabb9bc4b522bb0efb7bd26e615e00da268cb6,INDIA KAWASAKI MOTORS PVT LTD
8cc67de728beffc9e57300e910d786b99811f1ac9759920a8c47df3d2f8e9e75,NEW SRI RAGHAVA KRISHNA E WORK
8e6cfec535d37477e379e43560c3ff855d7526fb4eed1482c9681f733e32bfe3,M/S HAJRAT KHAZA GHARIB NAWAZ ENGINEERING WROKS
8ef25fd253d46636aff5f4df7907d5029520a2739b5f7b60215fd7b3870a54ea,M/S JAGTIAL AGRICULTURAL EQUIPMENT WORKS
8fc1e451726a5497e499c65e35fbdfc67fb8e6eac5a61a14e21dd74aa19d1ea8,PIAGGIO VEHICLES PVT LTD
910c0a696a0932a4f52db9bdcf7a77203bc0f4a23dfe28ecbfed7c6c535d841b,M/S NAGALAXMI ENGINEERING WORK
91480f3f10a387f1fcfbf43e8d15fe758cb16c7b9fa1539310c2067e4ddd5bd3,CAPTAIN TRACTORS PVT LTD
914c6097f2d09cb5a147dcb3b770ffa646b166e0620bb2d49f85fa8b2752db16,M/S SRI RAMA ENG.CO
91a80ebcada0d6e9507c04acb0d7a3abb002a3b4f62a4be4e6e18e67f4f45052,M/S.SRI.LAKSHMI NARASIMHA SWAMY AGRO INDUSTRIES
923bc52cd69dbe4819b72c270c4dfa7704e0225638e31a41e1876dc2ced1a157,M/S OM BHARATH INDUSTRIES
92a236654c6a299369dbfb6227063fc76f0ab7fe5d4a7296081385c4fc338a2e,M/S.SRI NIRMALA INDUSTRIES
92cf775669642d3ddec25fa5746a106d5398f2fb3c7d0a284aeab2a9b84b2020,M/S JAYA LAXMI ENGINEERING WGL
93bdb8d191ee275edf30a8a6ea139766736698eeae8b1720d678cbfecf60ceec,M/S FORD INDIA PVT LTD
94eb6ee75dfd1e4ee62cb0d642c999e609fa8e93fe7f6e1106b71e8daea2993d,M/S VENKATARAMANA GENRAL ENGINEERING WORKS KHMM
952e99ee177972c89983e3c1abb59f41c54d3ee303ba4c7c690a308a52d624ed,ADAPT MOTORS PVT.LTD
